Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"49,804"
2. Finansijska sredstva po amortizovanoj vrijednosti,"176,174"
2.a. Krediti i potrazivanja od banaka,"11,458"
2.b. Krediti i potrazivanja od klijenata,"162,332"
2.c. Hartije od vrijednosti,"1,928"
2.d. Ostala finansijska sredstva,456
3. Finansijska sredstva po fer vrijednosti kroz ostali ukupni rezultat,300
3.a. Krediti i potrazivanja od banaka,
3.b. Krediti i potrazivanja od klijenata,
3.c. Hartije od vrijednosti,300
3.d. Ostala finansijska sredstva,
4. Finansijska sredstva koja se drze radi trgovanja,36
4.a. Krediti i potrazivanja od banaka,
4.b. Krediti i potrazivanja od klijenata,
4.c. Hartije od vrijednosti,
4.d. Ostala finansijska sredstva,36
"5. Finansijska sredstva koja se vrednuju po fer vrijednosti kroz bilans uspjeha, koja se ne drze radi trgovanja",
5.a. Krediti i potrazivanja od banaka,
5.b. Krediti i potrazivanja od klijenata,
5.c. Hartije od vrijednosti,
5.d. Ostala finansijska sredstva,
6. Derivati koji se drze zbog zastite od rizika,
7. Promjene u fer vrijednsti stavki koje su predmet zastite od rizika,
"8. Investicije u pridruzena drustva, zavisna drustva i zajednicke poduhvate po metodi kapitala",
9. Investicione nekretnine,
"10. Nekretnine, postrojenja i oprema","1,477"
11. Nematerijalna sredstva,"2,240"
12. Tekuca poreska sredstva,"1,594"
13. Odlozena poreska sredstva,29
14. Stalna sredstva namijenjena prodaji i sredstva poslovanja koje se obustavlja,67
15. Ostala sredstva,"3,271"
16. UKUPNA SREDSTVA:,"234,992"
Obaveze,IZNOS
17. Finansijske obaveze koje se iskazuju po amortizovanoj vrijednosti,"190,364"
17.a. Depoziti banaka i centralnih banaka,
17.b. Depoziti klijenata,"180,677"
17.c. Krediti banaka i centralnih banaka,
17.d. Krediti klijenata koji nijesu banke,"9,686"
17.e. Hartije od vrijednosti,
17.f. Ostale finansijske obaveze,
18. Finansijske obaveze koje se drze radi trgovanja,13
18.a. Depoziti banaka i centralnih banaka,
18.b. Depoziti klijenata,
18.c. Krediti banaka i centralnih banaka,
18.d. Krediti klijenata koji nijesu banke,
18.e. Hartije od vrijednosti,
18.f. Ostale finansijske obaveze,13
19. Finansijske obaveze kojima se ne trguje i koje se vrednuju po fer vrijednosti kroz bilans uspjeha,
19.a. Depoziti banaka i centralnih banaka,
19.b. Depoziti klijenata,
19.c. Krediti banaka i centralnih banaka,
19.d. Krediti klijenata koji nijesu banke,
19.e. Ostale finansijske obaveze,
20. Derivatne finansijske obaveze kao instrument zastite,
21. Promjene fer vrijednosti stavki koje su predmet zastite od rizika,
22. Rezerve,"1,705"
23. Obaveze po osnovu sredstava namijenjenih prodaji i sredstva poslovanja koje se obustavlja,
24. Tekuce poreske obaveze,
25. Odlozene poreske obaveze,
26. Ostale obaveze,"5,508"
27. Subordinisani dug,"2,499"
28. UKUPNE OBAVEZE:,"200,088"
Kapital,IZNOS
29. Akcijski kapital,"27,661"
30. Emisione premije,
31. Nerasporedena dobit,"4,235"
32. Dobit/gubitak tekuce godine,"2,933"
33. Ostale rezerve,74
34. Interesi bez kontrolnog uticaja u kapitalu,
35. UKUPAN KAPITAL: (29. do 34.),"34,904"
36. UKUPNI KAPITAL I OBAVEZE: (28. + 35.),"234,992"
