Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"124,679"
2. Finansijska sredstva po amortizovanoj vrijednosti,"789,697"
2.a. Krediti i potrazivanja od banaka,"74,177"
2.b. Krediti i potrazivanja od klijenata,"583,250"
2.c. Hartije od vrijednosti,"128,385"
2.d. Ostala finansijska sredstva,"3,884"
3. Finansijska sredstva po fer vrijednosti kroz ostali ukupni rezultat,"26,745"
3.a. Krediti i potrazivanja od banaka,
3.b. Krediti i potrazivanja od klijenata,
3.c. Hartije od vrijednosti,"26,745"
3.d. Ostala finansijska sredstva,
4. Finansijska sredstva koja se drze radi trgovanja,
4.a. Krediti i potrazivanja od banaka,
4.b. Krediti i potrazivanja od klijenata,
4.c. Hartije od vrijednosti,
4.d. Ostala finansijska sredstva,
"5. Finansijska sredstva koja se vrednuju po fer vrijednosti kroz bilans uspjeha, koja se ne drze radi trgovanja",
5.a. Krediti i potrazivanja od banaka,
5.b. Krediti i potrazivanja od klijenata,
5.c. Hartije od vrijednosti,
5.d. Ostala finansijska sredstva,
6. Derivati koji se drze zbog zastite od rizika,98
7. Promjene u fer vrijednsti stavki koje su predmet zastite od rizika,"2,307"
"8. Investicije u pridruzena drustva, zavisna drustva i zajednicke poduhvate po metodi kapitala",
9. Investicione nekretnine,198
"10. Nekretnine, postrojenja i oprema","19,706"
11. Nematerijalna sredstva,"1,845"
12. Tekuca poreska sredstva,
13. Odlozena poreska sredstva,"1,614"
14. Stalna sredstva namijenjena prodaji i sredstva poslovanja koje se obustavlja,
15. Ostala sredstva,"5,125"
16. UKUPNA SREDSTVA:,"972,015"
Obaveze,IZNOS
17. Finansijske obaveze koje se iskazuju po amortizovanoj vrijednosti,"821,730"
17.a. Depoziti banaka i centralnih banaka,974
17.b. Depoziti klijenata,"798,018"
17.c. Krediti banaka i centralnih banaka,"7,600"
17.d. Krediti klijenata koji nijesu banke,"15,138"
17.e. Hartije od vrijednosti,
17.f. Ostale finansijske obaveze,
18. Finansijske obaveze koje se drze radi trgovanja,
18.a. Depoziti banaka i centralnih banaka,
18.b. Depoziti klijenata,
18.c. Krediti banaka i centralnih banaka,
18.d. Krediti klijenata koji nijesu banke,
18.e. Hartije od vrijednosti,
18.f. Ostale finansijske obaveze,
19. Finansijske obaveze kojima se ne trguje i koje se vrednuju po fer vrijednosti kroz bilans uspjeha,557
19.a. Depoziti banaka i centralnih banaka,
19.b. Depoziti klijenata,
19.c. Krediti banaka i centralnih banaka,
19.d. Krediti klijenata koji nijesu banke,
19.e. Ostale finansijske obaveze,557
20. Derivatne finansijske obaveze kao instrument zastite,"2,341"
21. Promjene fer vrijednosti stavki koje su predmet zastite od rizika,
22. Rezerve,"4,860"
23. Obaveze po osnovu sredstava namijenjenih prodaji i sredstva poslovanja koje se obustavlja,
24. Tekuce poreske obaveze,"5,513"
25. Odlozene poreske obaveze,836
26. Ostale obaveze,"12,125"
27. Subordinisani dug,"2,438"
28. UKUPNE OBAVEZE:,"850,398"
Kapital,IZNOS
29. Akcijski kapital,"26,648"
30. Emisione premije,"7,146"
31. Nerasporedena dobit,"40,190"
32. Dobit/gubitak tekuce godine,"26,610"
33. Ostale rezerve,"21,023"
34. Interesi bez kontrolnog uticaja u kapitalu,
35. UKUPAN KAPITAL: (29. do 34.),"121,617"
36. UKUPNI KAPITAL I OBAVEZE: (28. + 35.),"972,015"
